C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.01,,100000,ovr,l1,liblinear,,0.843499063675945,0.4282009905409638,0.319388569645436,0.6495112270233712,0.7561262289703446,0.843499063675945,0.8236190234308293,0.6403278896031322,0.843499063675945,0.843499063675945,0.6687719963545012,0.843499063675945,0.8210658721343784,0.8449640459797241,0.3791618680253716,0.6206577951917938
0.01,,100000,ovr,l1,saga,,0.8436671207523295,0.4289565450679983,0.3200326161276826,0.6503212221433782,0.75659104077788,0.8436671207523295,0.8238653166580577,0.6406804641937117,0.8436671207523295,0.8436671207523295,0.6691966768724619,0.8436671207523295,0.8212810917840732,0.8450849216214479,0.3799825214089483,0.6211486505115692
0.1,balanced,1000,ovr,l1,liblinear,,0.7546491560897332,0.5436746320789912,0.796610912504037,0.4126515880484824,0.677434320752222,0.7546491560897332,0.845055470402948,0.7709156116414766,0.7546491560897332,0.7546491560897332,0.6879471170940157,0.7546491560897332,0.7792790529412289,0.8498459304953805,0.4384961785327793,0.6590926200910108
0.1,balanced,1000,ovr,l1,saga,,0.7547305589429678,0.5437480488295846,0.7965822860720189,0.4127438356223361,0.6774804815979802,0.7547305589429678,0.8450724558763133,0.7709543613862065,0.7547305589429678,0.7547305589429678,0.6880169326906863,0.7547305589429678,0.7793465889520298,0.8498541772146159,0.4385845789883523,0.6591631559184661
0.1,balanced,10000,ovr,l1,liblinear,,0.7546491560897332,0.5436746320789912,0.796610912504037,0.4126515880484824,0.677434320752222,0.7546491560897332,0.845055470402948,0.7709156116414766,0.7546491560897332,0.7546491560897332,0.6879471170940157,0.7546491560897332,0.7792790529412289,0.8498459304953805,0.4384961785327793,0.6590926200910108
0.1,balanced,10000,ovr,l1,saga,,0.7547305589429678,0.5437480488295846,0.7965822860720189,0.4127438356223361,0.6774804815979802,0.7547305589429678,0.8450724558763133,0.7709543613862065,0.7547305589429678,0.7547305589429678,0.6880169326906863,0.7547305589429678,0.7793465889520298,0.8498541772146159,0.4385845789883523,0.6591631559184661
0.1,balanced,100000,ovr,l1,liblinear,,0.7546491560897332,0.5436746320789912,0.796610912504037,0.4126515880484824,0.677434320752222,0.7546491560897332,0.845055470402948,0.7709156116414766,0.7546491560897332,0.7546491560897332,0.6879471170940157,0.7546491560897332,0.7792790529412289,0.8498459304953805,0.4384961785327793,0.6590926200910108
0.1,balanced,100000,ovr,l1,saga,,0.7547305589429678,0.5437480488295846,0.7965822860720189,0.4127438356223361,0.6774804815979802,0.7547305589429678,0.8450724558763133,0.7709543613862065,0.7547305589429678,0.7547305589429678,0.6880169326906863,0.7547305589429678,0.7793465889520298,0.8498541772146159,0.4385845789883523,0.6591631559184661
0.1,,1000,ovr,l1,liblinear,,0.8446754664583525,0.4504028208117304,0.3468963856568652,0.6420053414868764,0.7544952508666777,0.8446754664583525,0.8257071675946156,0.6517116495935728,0.8446754664583525,0.8446754664583525,0.6799800184390877,0.8446754664583525,0.8253142484112357,0.8494212970832954,0.3929824234892663,0.6340645789136162
0.1,,1000,ovr,l1,saga,,0.8447306104554603,0.4505717806154162,0.3470108815529558,0.6423101095057627,0.7546602927708337,0.8447306104554603,0.8257837551205647,0.6517898012549087,0.8447306104554603,0.8447306104554603,0.6800808809619623,0.8447306104554603,0.8253720017682958,0.8494190761396188,0.3932100938210476,0.6341790608926531
