solver,penalty,multi_class,max_iter,class_weight,C,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
newton-cg,l2,multinomial,100000,balanced,0.1,,0.7714044978911533,0.7770181850348686,0.7965821018217111,0.7583934699002484,0.7720955270363797,0.7714044978911533,0.7720955289472484,0.7714045012540064,0.7714044978911533,0.7714044978911533,0.7712592950778899,0.7714044978911533,0.7712592943431762,0.8505964033837455,0.5434995863143793,0.7724110730692857
sag,,ovr,10000,,,,0.7714414811350871,0.7770384601262857,0.7965467264214716,0.7584644411428084,0.7721288599895918,0.7714414811350871,0.7721288620457777,0.7714414847694249,0.7714414811350871,0.7714414811350871,0.7712970895172898,0.7714414811350871,0.7712970887188068,0.8506283462484663,0.5435699069049894,0.772445363639089
saga,elasticnet,ovr,1000,,1.0,1.0,0.7714527370260522,0.7770596599553036,0.7966046132313201,0.7584522071841384,0.7721425673580605,0.7714527370260522,0.7721425693075984,0.7714527404742295,0.7714527370260522,0.7714527370260522,0.7713078387980072,0.7714527370260522,0.7713078380397448,0.8506247692159663,0.5435948672024876,0.7724582030294664
lbfgs,l2,ovr,100000,balanced,0.001,,0.7648809609607145,0.7698544568284569,0.7864936909038711,0.7539061584745766,0.765378025846692,0.7648809609607145,0.765378027033556,0.7648809631987527,0.7648809609607145,0.7648809609607145,0.7647708421442437,0.7648809609607145,0.7647708416143565,0.8441678628479803,0.5302587539021336,0.7657875650810865
liblinear,l1,ovr,100000,balanced,0.1,,0.771425401332959,0.77710455388945,0.7969069117676209,0.7582638987073574,0.7721334366121789,0.771425401332959,0.7721334386030589,0.771425404827677,0.771425401332959,0.771425401332959,0.7712766642546733,0.7714254013329591,0.7712766634934333,0.8505370662408541,0.5435583771980955,0.7724422421816287
saga,l1,ovr,100000,balanced,0.001,,0.7579200571914666,0.7626473288391219,0.7778395933777605,0.7480389963527988,0.7583315443099062,0.7579200571914666,0.7583315453138747,0.7579200591579127,0.7579200571914666,0.7579200571914666,0.7578236493240879,0.7579200571914666,0.7578236488396456,0.8360749920854472,0.5162514372637396,0.7587883852270946
lbfgs,l2,ovr,10000,balanced,0.01,,0.7703946922731219,0.775937635085605,0.7951349271386764,0.7576466310171931,0.7710593267508039,0.7703946922731219,0.7710593283264141,0.7703946950542092,0.7703946922731219,0.7703946922731219,0.770253882595824,0.7703946922731219,0.7702538819860786,0.8496977475031798,0.5414536115319759,0.7713906330937802
saga,elasticnet,ovr,10000,balanced,0.001,1.0,0.7579200571914666,0.7626473288391219,0.7778395933777605,0.7480389963527988,0.7583315443099062,0.7579200571914666,0.7583315453138747,0.7579200591579127,0.7579200571914666,0.7579200571914666,0.7578236493240879,0.7579200571914666,0.7578236488396456,0.8360749920854472,0.5162514372637396,0.7587883852270946
sag,l2,multinomial,1000,,0.01,,0.7708127648945157,0.7763827313672929,0.79572344616216,0.7579610978118726,0.7714876910828498,0.7708127648945157,0.7714876930139617,0.7708127682806291,0.7708127648945157,0.7708127648945157,0.7706702661704973,0.7708127648945156,0.7706702654344292,0.8501535284874163,0.5423000368830349,0.7718127592098565
sag,l2,ovr,10000,balanced,1.0,,0.7714511290582502,0.7770556154737512,0.7965917495819834,0.7584562217098672,0.7721403905372194,0.7714511290582502,0.7721403925284974,0.7714511325762374,0.7714511290582502,0.7714511290582502,0.7713063501987,0.7714511290582501,0.7713063494262206,0.8506250131492593,0.5435910830768046,0.7724562032537102
