criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,log2,4,256,128,random,0.013402511877307491
gini,,log2,8,1,128,best,0.033399365758844966
gini,,log2,8,1,128,random,0.037516629927986773
gini,,log2,8,2,128,best,0.033399365758844966
gini,,log2,8,2,128,random,0.037516629927986773
gini,,log2,8,4,128,best,0.033399365758844966
gini,,log2,8,4,128,random,0.037516629927986773
gini,,log2,8,8,128,best,0.033399365758844966
gini,,log2,8,8,128,random,0.037516629927986773
gini,,log2,8,16,128,best,0.033399365758844966
gini,,log2,8,16,128,random,0.037516629927986773
gini,,log2,8,32,128,best,0.03213295742547776
gini,,log2,8,32,128,random,0.03786846637185168
gini,,log2,8,64,128,best,0.034587717781681106
gini,,log2,8,64,128,random,0.03239319409147721
gini,,log2,8,128,128,best,0.013992910184375151
gini,,log2,8,128,128,random,0.04180174421991822
gini,,log2,8,256,128,best,0.008915843479138874
gini,,log2,8,256,128,random,0.011586595858322718
gini,,log2,16,1,128,best,0.019819308905546094
gini,,log2,16,1,128,random,0.03242453876593757
gini,,log2,16,2,128,best,0.019819308905546094
gini,,log2,16,2,128,random,0.03242453876593757
gini,,log2,16,4,128,best,0.019819308905546094
gini,,log2,16,4,128,random,0.03242453876593757
gini,,log2,16,8,128,best,0.019819308905546094
gini,,log2,16,8,128,random,0.03242453876593757
gini,,log2,16,16,128,best,0.019819308905546094
gini,,log2,16,16,128,random,0.03242453876593757
gini,,log2,16,32,128,best,0.019819308905546094
gini,,log2,16,32,128,random,0.03242453876593757
gini,,log2,16,64,128,best,0.015343446284314326
gini,,log2,16,64,128,random,0.019924834085173496
gini,,log2,16,128,128,best,0.014238812415119475
gini,,log2,16,128,128,random,0.0129304748902295
gini,,log2,16,256,128,best,0.010564000451109702
gini,,log2,16,256,128,random,0.0029500105531472735
gini,,log2,32,1,128,best,0.009439424464258404
gini,,log2,32,1,128,random,0.007220219739639266
gini,,log2,32,2,128,best,0.009439424464258404
gini,,log2,32,2,128,random,0.007220219739639266
gini,,log2,32,4,128,best,0.009439424464258404
gini,,log2,32,4,128,random,0.007220219739639266
gini,,log2,32,8,128,best,0.009439424464258404
gini,,log2,32,8,128,random,0.007220219739639266
gini,,log2,32,16,128,best,0.009439424464258404
gini,,log2,32,16,128,random,0.007220219739639266
gini,,log2,32,32,128,best,0.009439424464258404
gini,,log2,32,32,128,random,0.007220219739639266
gini,,log2,32,64,128,best,0.009439424464258404
gini,,log2,32,64,128,random,0.007220219739639266
gini,,log2,32,128,128,best,0.005689303147121343
gini,,log2,32,128,128,random,0.010577937131174485
gini,,log2,32,256,128,best,0.004302321823207451
gini,,log2,32,256,128,random,0.006541404794104357
gini,,log2,64,1,128,best,0.0054035798716649775
gini,,log2,64,1,128,random,0.013963584372482291
gini,,log2,64,2,128,best,0.0054035798716649775
gini,,log2,64,2,128,random,0.013963584372482291
gini,,log2,64,4,128,best,0.0054035798716649775
gini,,log2,64,4,128,random,0.013963584372482291
gini,,log2,64,8,128,best,0.0054035798716649775
gini,,log2,64,8,128,random,0.013963584372482291
gini,,log2,64,16,128,best,0.0054035798716649775
gini,,log2,64,16,128,random,0.013963584372482291
gini,,log2,64,32,128,best,0.0054035798716649775
gini,,log2,64,32,128,random,0.013963584372482291
gini,,log2,64,64,128,best,0.0054035798716649775
gini,,log2,64,64,128,random,0.013963584372482291
gini,,log2,64,128,128,best,0.0054035798716649775
gini,,log2,64,128,128,random,0.013963584372482291
gini,,log2,64,256,128,best,0.0
gini,,log2,64,256,128,random,0.0040595399188092015
gini,,log2,128,1,128,best,0.004272062956717257
gini,,log2,128,1,128,random,0.0
gini,,log2,128,2,128,best,0.004272062956717257
gini,,log2,128,2,128,random,0.0
gini,,log2,128,4,128,best,0.004272062956717257
gini,,log2,128,4,128,random,0.0
gini,,log2,128,8,128,best,0.004272062956717257
gini,,log2,128,8,128,random,0.0
gini,,log2,128,16,128,best,0.004272062956717257
gini,,log2,128,16,128,random,0.0
gini,,log2,128,32,128,best,0.004272062956717257
gini,,log2,128,32,128,random,0.0
gini,,log2,128,64,128,best,0.004272062956717257
gini,,log2,128,64,128,random,0.0
gini,,log2,128,128,128,best,0.004272062956717257
gini,,log2,128,128,128,random,0.0
gini,,log2,128,256,128,best,0.004272062956717257
gini,,log2,128,256,128,random,0.0
gini,,log2,256,1,128,best,0.0
gini,,log2,256,1,128,random,0.0
gini,,log2,256,2,128,best,0.0
gini,,log2,256,2,128,random,0.0
gini,,log2,256,4,128,best,0.0
gini,,log2,256,4,128,random,0.0
gini,,log2,256,8,128,best,0.0
gini,,log2,256,8,128,random,0.0
gini,,log2,256,16,128,best,0.0
gini,,log2,256,16,128,random,0.0
gini,,log2,256,32,128,best,0.0
gini,,log2,256,32,128,random,0.0
gini,,log2,256,64,128,best,0.0
gini,,log2,256,64,128,random,0.0
gini,,log2,256,128,128,best,0.0
gini,,log2,256,128,128,random,0.0
gini,,log2,256,256,128,best,0.0
gini,,log2,256,256,128,random,0.0
gini,12,sqrt,1,1,128,best,0.024788515822038542
gini,12,sqrt,1,1,128,random,0.0252358657288722
gini,12,sqrt,1,2,128,best,0.024788515822038542
gini,12,sqrt,1,2,128,random,0.0252358657288722
gini,12,sqrt,1,4,128,best,0.029141422885954404
gini,12,sqrt,1,4,128,random,0.03683010294867817
gini,12,sqrt,1,8,128,best,0.026170572113921056
gini,12,sqrt,1,8,128,random,0.03934449353769947
gini,12,sqrt,1,16,128,best,0.018905368925051496
gini,12,sqrt,1,16,128,random,0.031500930482277145
gini,12,sqrt,1,32,128,best,0.020103337086016356
gini,12,sqrt,1,32,128,random,0.03038808901969682
gini,12,sqrt,1,64,128,best,0.01853898844767417
gini,12,sqrt,1,64,128,random,0.018626906442474462
gini,12,sqrt,1,128,128,best,0.01593158319026962
gini,12,sqrt,1,128,128,random,0.022952231679868897
gini,12,sqrt,1,256,128,best,0.0013690096493862846
gini,12,sqrt,1,256,128,random,0.007007875225983988
gini,12,sqrt,2,1,128,best,0.022520345157307706
gini,12,sqrt,2,1,128,random,0.035632540569820556
gini,12,sqrt,2,2,128,best,0.022520345157307706
gini,12,sqrt,2,2,128,random,0.035632540569820556
gini,12,sqrt,2,4,128,best,0.022520345157307706
gini,12,sqrt,2,4,128,random,0.035632540569820556
gini,12,sqrt,2,8,128,best,0.01889710928144266
gini,12,sqrt,2,8,128,random,0.043580021605125474
gini,12,sqrt,2,16,128,best,0.02405056777444803
gini,12,sqrt,2,16,128,random,0.04403063839705229
gini,12,sqrt,2,32,128,best,0.03325801210240673
gini,12,sqrt,2,32,128,random,0.03074644190150674
gini,12,sqrt,2,64,128,best,0.021714851935567936
gini,12,sqrt,2,64,128,random,0.022955117536996427
gini,12,sqrt,2,128,128,best,0.01474289866073375
gini,12,sqrt,2,128,128,random,0.010700023083615668
gini,12,sqrt,2,256,128,best,0.0020421957868994667
gini,12,sqrt,2,256,128,random,0.016148224110013862
gini,12,sqrt,4,1,128,best,0.01741673896181525
gini,12,sqrt,4,1,128,random,0.02706660715299059
gini,12,sqrt,4,2,128,best,0.01741673896181525
gini,12,sqrt,4,2,128,random,0.02706660715299059
gini,12,sqrt,4,4,128,best,0.01741673896181525
gini,12,sqrt,4,4,128,random,0.02706660715299059
gini,12,sqrt,4,8,128,best,0.01741673896181525
gini,12,sqrt,4,8,128,random,0.02706660715299059
gini,12,sqrt,4,16,128,best,0.02387791994668613
gini,12,sqrt,4,16,128,random,0.02750758889717889
gini,12,sqrt,4,32,128,best,0.017663767410371164
gini,12,sqrt,4,32,128,random,0.025412678815425128
gini,12,sqrt,4,64,128,best,0.010043264054426957
gini,12,sqrt,4,64,128,random,0.03318952201462194
gini,12,sqrt,4,128,128,best,0.003600861273698156
gini,12,sqrt,4,128,128,random,0.025728214077842995
gini,12,sqrt,4,256,128,best,0.016194772600527003
gini,12,sqrt,4,256,128,random,0.017466038158039737
gini,12,sqrt,8,1,128,best,0.015335080156289179
gini,12,sqrt,8,1,128,random,0.022706935257001366
gini,12,sqrt,8,2,128,best,0.015335080156289179
gini,12,sqrt,8,2,128,random,0.022706935257001366
gini,12,sqrt,8,4,128,best,0.015335080156289179
gini,12,sqrt,8,4,128,random,0.022706935257001366
gini,12,sqrt,8,8,128,best,0.015335080156289179
gini,12,sqrt,8,8,128,random,0.022706935257001366
gini,12,sqrt,8,16,128,best,0.015335080156289179
gini,12,sqrt,8,16,128,random,0.022706935257001366
gini,12,sqrt,8,32,128,best,0.014647862082371024
gini,12,sqrt,8,32,128,random,0.03966943742811049
gini,12,sqrt,8,64,128,best,0.01631096361487326
gini,12,sqrt,8,64,128,random,0.031139476926135
gini,12,sqrt,8,128,128,best,0.009568475219190757
gini,12,sqrt,8,128,128,random,0.028276141914836433
gini,12,sqrt,8,256,128,best,0.010741150846190517
gini,12,sqrt,8,256,128,random,0.022717139322250807
gini,12,sqrt,16,1,128,best,0.020658856830767253
gini,12,sqrt,16,1,128,random,0.023685710821113797
gini,12,sqrt,16,2,128,best,0.020658856830767253
gini,12,sqrt,16,2,128,random,0.023685710821113797
