splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
random,1,32,1,log2,28,entropy,0.35977296634269024,0.42543546608290767,0.17904071205513147,0.057430913016714435
best,65,42,31,sqrt,2,gini,0.0668218940652364,0.2331979410020466,0.0,0.0
random,129,12,81,log2,6,entropy,0.2513110206095124,0.34576045832365215,0.12608047397195898,0.0
random,1,22,1,sqrt,18,entropy,0.3725955794311537,0.4303053124154721,0.1809131386593865,0.05413701112574759
random,193,62,11,log2,8,gini,0.2807691006543094,0.34547958995861894,0.09565712204806297,0.0015970796258270592
random,129,82,1,sqrt,26,gini,0.38529978641828483,0.44009452406120825,0.18963697538342675,0.06010090418411782
random,65,52,31,sqrt,14,gini,0.3715562765559726,0.41319273102310333,0.14030696441785642,0.004525621635939659
random,1,82,91,sqrt,22,gini,0.3682624186498992,0.41646432636733266,0.1467980038736564,0.007357859531772574
random,193,42,1,log2,30,gini,0.35946934034760725,0.42664850614387095,0.18174713197465128,0.059231892356562316
best,193,22,91,sqrt,20,entropy,0.37690209001340585,0.41676848494309765,0.14137453373552097,0.0
random,193,2,51,log2,12,entropy,0.31097075580999173,0.3755186057273487,0.11667997556437397,0.0063323877969578175
best,129,62,31,log2,24,entropy,0.3446691503291463,0.4025394875095198,0.13577701560350083,0.00045630846452201693
best,129,32,51,log2,26,gini,0.3519470309357189,0.4038755498111144,0.13142910257452098,0.004516711833785004
best,65,62,31,log2,16,entropy,0.32541505993613634,0.3797823404060443,0.10544571629996895,0.004330094856410646
random,1,52,1,sqrt,8,gini,0.3176942660850722,0.37728195333455733,0.11488901471215081,0.014972753926027713
best,65,82,51,sqrt,8,entropy,0.29285384664653485,0.36909245598858725,0.12113544020124138,0.005420054200542006
random,193,72,81,sqrt,4,gini,0.14762957767276355,0.2824253512247646,0.048679838553575806,0.0
random,1,92,71,log2,30,entropy,0.3241513328347139,0.39270803638170654,0.13117916187174192,0.0
best,65,82,91,sqrt,18,gini,0.37745143357137806,0.416908556691924,0.1414364326599011,0.003372681281618887
random,193,2,81,log2,6,entropy,0.2796023694212064,0.3482245312000643,0.1050429859369542,0.0
random,65,82,51,log2,16,entropy,0.2968781909979213,0.38378138887455293,0.13756477612943183,0.01599797529821333
best,129,82,1,log2,16,entropy,0.3342138723098562,0.39677607811568033,0.14038520396413023,0.01618642661683894
random,65,12,91,sqrt,16,gini,0.3710660385530969,0.4135328309120902,0.14014498631137984,0.0
best,65,42,51,sqrt,22,entropy,0.3838498802536023,0.42385403108823877,0.1515834009736713,0.008731686765545298
best,193,32,61,log2,6,entropy,0.23499502561511612,0.3019442385216291,0.0693530488184224,0.0
random,65,52,81,sqrt,18,entropy,0.3654741113091556,0.41213955400459296,0.1424563362015507,0.0
best,193,42,71,log2,28,gini,0.33166275948214735,0.39090754790465815,0.1246749050294959,0.006304176516942474
best,193,2,81,log2,14,entropy,0.2826341000610701,0.36201318756799744,0.1124015806283387,0.0
best,65,2,31,log2,28,entropy,0.34922710320519385,0.4056155891257303,0.14154800894977834,0.006943405871780162
random,1,52,91,sqrt,16,entropy,0.3510187395216142,0.4058970423028098,0.1396427888158048,0.005155794664873347
best,193,2,1,log2,18,gini,0.3359319732676873,0.4049471904807684,0.15511947758848485,0.037647256869168026
best,193,12,61,sqrt,6,gini,0.3039230687472017,0.35370641874258874,0.08878200835007233,0.0
best,129,62,31,log2,4,entropy,0.23834912225900307,0.2868977480648896,0.0,0.0
random,1,82,91,log2,22,entropy,0.3265261160934676,0.39259126177011283,0.12955339869900578,0.0
random,193,22,51,sqrt,2,gini,0.11946860855628451,0.21657072758407095,0.0,0.0
random,193,42,1,sqrt,,gini,0.3636009949941599,0.4414095419709514,0.21116952111487075,0.09997858385040755
random,65,92,11,sqrt,30,gini,0.3929707629497738,0.43775164427903707,0.17663364121135547,0.03475307177864003
best,1,2,11,log2,2,entropy,0.04601178910593005,0.17552530169661293,0.0,0.0
best,65,92,31,log2,4,gini,0.19939522009201693,0.29231754247579794,0.0314043821386267,0.0
random,1,52,81,sqrt,6,gini,0.2336879656005961,0.3107690120831657,0.051065477946391886,0.0
random,1,92,81,log2,22,gini,0.328254472659998,0.38685539907148847,0.11839178176486538,0.0
random,65,92,51,sqrt,18,entropy,0.3766678874564218,0.42168125651761085,0.15486953719133945,0.016543977562767903
random,129,42,71,log2,14,gini,0.2991826888129104,0.37513952574914117,0.11270827961752099,0.004509074512456319
random,1,52,41,log2,22,gini,0.338960696062594,0.39809604814351357,0.13440207287984854,0.001815911928271479
best,129,82,71,log2,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
random,65,52,71,log2,14,entropy,0.2996365565630403,0.37287314605505656,0.11686630939576927,0.0
best,193,12,71,log2,4,entropy,0.19119387037462388,0.2774106652991488,0.06254942687338491,0.0
random,193,12,71,log2,2,gini,0.17936777520704505,0.24066313391969277,0.0,0.0
best,193,92,51,log2,28,gini,0.3445517737952693,0.39951728742307013,0.13227011663846103,0.0033932813030200207
best,129,42,1,sqrt,20,gini,0.3825813103198907,0.43620766322157145,0.18400575270889064,0.05277142068107374
random,1,2,71,sqrt,14,entropy,0.352055210553144,0.4048285519347452,0.14035070644186834,0.005152329749103944
best,65,92,61,sqrt,26,entropy,0.3806531105931854,0.42272613365832895,0.1524809759780844,0.004752591001678589
best,1,92,21,sqrt,26,gini,0.3918017514826151,0.4336297855029718,0.16740509610608753,0.02270471785915099
