splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
random,193,42,11,sqrt,12,gini,0.2428187914671457,0.3382294628466263,0.10375688765757864,0.02916082010509365
random,193,42,81,sqrt,2,entropy,0.11946860855628451,0.21657072758407095,0.0,0.0
best,193,92,41,log2,4,gini,0.19119387037462388,0.2774106652991488,0.06254942687338491,0.0
random,129,42,51,sqrt,4,gini,0.25153048388648064,0.34460283848611994,0.07744924106012012,0.0
best,1,2,11,sqrt,24,gini,0.3946710559256916,0.4390592121494936,0.17855153122319933,0.040973219474803126
random,1,52,91,log2,24,entropy,0.3234033040354057,0.3911022260894277,0.13037961980908788,0.0
best,193,2,21,sqrt,18,entropy,0.39161002294144726,0.43270907437744316,0.1663479374859527,0.024644154437629757
random,1,22,21,sqrt,28,entropy,0.38589289877980315,0.4311192871959559,0.16661765175694757,0.01994383687341451
best,65,92,11,sqrt,8,entropy,0.3154553807293529,0.3852745507431427,0.12799033960828518,0.007818366308057496
best,193,32,41,sqrt,8,gini,0.3039507398147891,0.3578762015563182,0.09429236270013613,0.0
best,193,22,1,log2,8,entropy,0.20034925062050657,0.28910473661588054,0.05441042290254625,0.0002279981760145919
random,193,2,11,sqrt,24,entropy,0.3886904643756151,0.4413482668556729,0.1900199841150619,0.060611439798012
random,65,2,91,sqrt,,entropy,0.3710038044868815,0.41573653231349955,0.14329004381269597,0.0
best,65,32,91,sqrt,12,entropy,0.35993842855130725,0.4044782603769981,0.1373029037281018,0.00831972726245854
best,65,72,1,sqrt,22,entropy,0.38735487006236763,0.44086234378797773,0.18996133010268382,0.06168720158437135
best,193,62,61,sqrt,20,gini,0.3849374077953393,0.4213192953859523,0.144879252815677,0.00045552898303154545
best,1,22,91,sqrt,4,entropy,0.21715706578266936,0.28853215350228284,0.049964621200194737,0.0
random,193,42,11,log2,2,gini,0.17936777520704505,0.24066313391969277,0.0,0.0
best,193,22,21,log2,6,entropy,0.23823319502110044,0.3034160577576985,0.06266979657848398,0.0
random,193,2,21,sqrt,24,entropy,0.383036983319292,0.4305741823631497,0.1687757959617695,0.028678867247016477
random,129,22,1,sqrt,10,gini,0.3271206935570903,0.3995427461022992,0.14672266907654402,0.016101149536981472
best,193,22,41,sqrt,24,entropy,0.38879061550233257,0.4282464049687666,0.15819008852697422,0.015468432193036341
best,65,62,81,sqrt,24,entropy,0.3831752174414645,0.42250693286849267,0.1491939780406349,0.0067181726570372845
best,1,32,21,sqrt,16,gini,0.362240624806946,0.41285889461920905,0.14746865286153765,0.013432433333374905
best,65,62,11,sqrt,20,entropy,0.3746091252815756,0.4284308446269196,0.17173568264417227,0.03482270443836497
random,193,42,41,log2,28,entropy,0.35123977628911,0.4057217974796994,0.13956543192014914,0.006072452650248386
best,129,82,81,sqrt,24,entropy,0.3722105255897687,0.4180022882912908,0.14792636605485038,0.008289057598609742
best,1,2,71,sqrt,22,entropy,0.38922823897557945,0.423950611666233,0.14718738631681552,0.0022606533288120267
best,129,82,61,log2,20,gini,0.33082719146243067,0.3934029963686621,0.12740136913836028,0.00360482144868762
random,129,92,21,log2,28,entropy,0.3589796862730465,0.4178637792668443,0.15934037350695443,0.02226647761742698
best,193,2,1,sqrt,12,gini,0.3655151396224801,0.41198544972332724,0.14669608104560497,0.027641790370833363
random,1,22,61,sqrt,20,entropy,0.37743240067453093,0.4233259179222026,0.1557692328506389,0.011290064316404688
random,129,2,91,log2,22,gini,0.33125016592542433,0.39516704437687084,0.1296757311173222,0.008178603006189214
random,129,42,61,sqrt,26,gini,0.37482238160808207,0.4221751610798481,0.1543344963120994,0.010547784752029688
best,193,42,81,log2,18,entropy,0.31669937215299865,0.3849603411538845,0.12194841240089438,0.0
random,129,62,1,log2,28,gini,0.3599000777618841,0.4284799109248309,0.18553759737841222,0.06562910606247614
random,129,62,11,log2,10,entropy,0.29670063965009696,0.37350252029296854,0.12045989814608453,0.006801646708282254
random,129,42,31,log2,2,gini,0.07705697434994017,0.23765442336799728,0.0,0.0
random,65,82,51,log2,4,gini,0.09540893032063709,0.25027486635170687,0.0012916156330030064,0.0
random,129,92,41,sqrt,26,gini,0.3789046547699105,0.42059184855580556,0.14721574458816414,0.0024858757062146894
random,65,62,81,sqrt,30,gini,0.3781457128459081,0.41779558998108346,0.14313489959679462,0.0
random,129,72,41,log2,14,gini,0.3331178354506757,0.3968624463045376,0.1393100975380505,0.010415269502206186
random,1,82,51,sqrt,28,gini,0.38094790592681455,0.4270377518900079,0.16102842858352315,0.014539297236666205
random,129,32,21,sqrt,20,entropy,0.38378098727491733,0.4300465692347288,0.16662958393602464,0.022873290465431805
random,129,22,31,sqrt,4,entropy,0.25152998986547054,0.3446001358421531,0.07744924106012012,0.0
best,129,32,11,sqrt,10,gini,0.32167292895517413,0.38705982907875053,0.12904085913906024,0.006037579246084143
best,129,42,41,log2,12,entropy,0.2719077112017421,0.35607412200781535,0.1016365508875013,0.0027137042062415195
best,65,32,11,log2,30,gini,0.36417194611811926,0.41779091287639214,0.15697787328573934,0.022611237865373775
random,65,72,21,sqrt,16,entropy,0.37010555051578264,0.4190255515987939,0.15782226215181863,0.027961129529542012
random,1,82,11,sqrt,22,gini,0.38641171395503965,0.4327083337096398,0.16980619259245464,0.02675033762283045
random,1,52,71,log2,12,gini,0.3260975237188501,0.38209211043423624,0.1298370926819046,0.0
best,193,92,21,log2,30,entropy,0.3536000674376498,0.40817605519277933,0.14389641915210125,0.014905827326152843
random,129,22,81,sqrt,6,entropy,0.23008833035550294,0.31548822424508566,0.07937495246281627,0.0
best,129,72,61,sqrt,10,gini,0.33065948311556737,0.39224056507762456,0.12671778607364823,0.011430664954180872
best,129,52,81,log2,8,gini,0.24706571665927848,0.3305471006016628,0.07031798464875476,0.0
best,65,72,61,log2,14,gini,0.3251703829442118,0.3768541419090317,0.10038157113103312,0.0
random,65,82,71,sqrt,8,gini,0.3173338791614573,0.37468149296976055,0.12303685028344485,0.0
best,193,22,51,log2,,entropy,0.33320250775021054,0.39295981730192486,0.12506129902446358,0.0013600816048962938
best,65,2,1,sqrt,28,entropy,0.3539603618193321,0.4403134118720431,0.22030359135884847,0.12465002415115774
random,193,12,91,log2,2,gini,0.17936777520704505,0.24066313391969277,0.0,0.0
random,1,52,81,sqrt,18,gini,0.3674082664783708,0.41396227231107713,0.14462846762857925,0.003828828828828829
best,193,82,11,sqrt,24,entropy,0.3996044449104972,0.4427094366442376,0.18320048546394052,0.045359578302245386
best,193,62,31,log2,4,entropy,0.19119387037462388,0.2774106652991488,0.06254942687338491,0.0
best,1,82,81,log2,6,entropy,0.14258313061591749,0.24391832731178198,0.0227581239747275,0.0
best,1,62,41,sqrt,16,entropy,0.3827071621888128,0.42356393073061654,0.15587950015164098,0.012706480683841422
random,65,42,1,sqrt,20,entropy,0.38514542951580294,0.4419044329905845,0.19605402954226092,0.07639782534757368
best,193,12,41,sqrt,24,entropy,0.38879061550233257,0.4282464049687666,0.15819008852697422,0.015468432193036341
random,65,2,11,sqrt,26,entropy,0.3878226464764081,0.438692927092405,0.18507493018054463,0.052048911247123235
random,129,52,91,sqrt,16,gini,0.3553053947173936,0.40623425895158455,0.13700019236279523,0.0
random,65,2,31,log2,14,gini,0.30305721695192706,0.37725329118705025,0.12616167136123504,0.008337082021292548
random,129,42,41,sqrt,28,gini,0.38319859322252464,0.42469613587864785,0.15386157766753145,0.00894298213988511
random,65,22,21,sqrt,22,entropy,0.3854272367011426,0.4321355177949647,0.1703693440741422,0.02890963015639673
random,65,2,71,sqrt,14,gini,0.36146350044105996,0.4086511858286484,0.14166028099121908,0.009102753643734262
random,129,22,71,log2,8,entropy,0.27086183078111875,0.3707592845028989,0.1343649000630128,0.007306542676851544
best,129,42,51,log2,28,gini,0.3373986463045344,0.39875862708401294,0.13317661873357328,0.0011310937676733402
best,193,92,31,log2,28,entropy,0.3490941052011673,0.4040454016625438,0.13842812251043354,0.011707217142007453
best,129,32,61,log2,18,gini,0.3170169354545069,0.3855376007119777,0.12141987343203986,0.001358695652173913
best,129,12,1,sqrt,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
best,129,62,91,sqrt,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
random,129,82,91,sqrt,4,gini,0.2515207857754275,0.34460414776722187,0.07744924106012012,0.0
best,1,82,71,sqrt,10,entropy,0.32558728156394157,0.388162255892653,0.1254716443395447,0.00451078391064515
best,129,92,91,sqrt,24,gini,0.3718928319311689,0.4154815456781284,0.14156597967283746,0.0042448614834673815
best,129,42,1,log2,12,entropy,0.30503721504620424,0.37316244620459244,0.10665752746886924,0.013313167426522046
best,129,32,11,sqrt,30,gini,0.3922250699145828,0.4414677087767296,0.18620688972100405,0.05109043131864844
random,1,32,1,sqrt,26,gini,0.3736037554083687,0.43905870152925225,0.19772797994002267,0.07920402255830965
random,193,82,61,sqrt,10,entropy,0.32529937347855037,0.38252579772207485,0.1138172232912823,0.0
random,193,52,1,sqrt,14,gini,0.30196310718849456,0.3809733292585038,0.13671338219777315,0.033595505755348955
random,129,32,11,log2,14,gini,0.3318634970193414,0.39794561917164545,0.14404756063931431,0.012851576327053514
random,129,2,31,sqrt,16,entropy,0.3721508208032516,0.4207834280015968,0.15692619608222944,0.010796085576816612
random,1,2,11,log2,30,gini,0.3561213016871796,0.4153997734186054,0.1569207970136267,0.024545650496364663
best,65,72,41,sqrt,10,gini,0.3149913033922081,0.3843354136938329,0.13244883276839228,0.015018174884018354
random,1,42,81,log2,22,gini,0.328254472659998,0.38685539907148847,0.11839178176486538,0.0
random,193,82,81,sqrt,2,entropy,0.11946860855628451,0.21657072758407095,0.0,0.0
random,1,92,21,sqrt,20,gini,0.3740611130808314,0.42287451927630376,0.15898163524677253,0.014859430286692262
best,1,12,81,sqrt,20,gini,0.3817705873170772,0.4189429436342756,0.14248181341800387,0.006309834638816361
best,65,52,91,sqrt,16,gini,0.37486861617630723,0.4174191294494709,0.14487746268872517,0.0
random,129,32,11,log2,16,gini,0.3322297649920799,0.39302645874060077,0.13509292282383165,0.02103387791051144
random,65,42,11,sqrt,30,entropy,0.38654747585067994,0.4375516265948778,0.18214268989688298,0.04831976803861482
random,193,52,41,log2,30,gini,0.3545662646616125,0.40538635013923385,0.13313913495207094,0.0015910898965791566
best,1,2,31,sqrt,4,entropy,0.21715706578266936,0.28853215350228284,0.049964621200194737,0.0
random,65,52,1,log2,4,gini,0.09540249470996472,0.250273144927928,0.0012915437287758169,0.0
random,1,92,81,log2,20,entropy,0.31075103963608325,0.38741118896131277,0.133004878371138,0.007096917276557996
random,1,52,1,log2,12,entropy,0.2703454692244827,0.3666706692408274,0.12577666124673872,0.004523719791770089
best,65,62,1,sqrt,20,gini,0.3921589585538441,0.43926402620614874,0.18138687084185334,0.0524187454474316
best,65,22,21,sqrt,26,entropy,0.3954482800642262,0.4378192122731878,0.17448613817874317,0.0354528144719865
best,193,72,41,sqrt,6,entropy,0.2769852020463928,0.33253167282379964,0.06787149168598476,0.0
best,65,92,21,sqrt,2,gini,0.0668218940652364,0.2331979410020466,0.0,0.0
random,193,32,41,sqrt,14,gini,0.2851157500297357,0.36884841473244306,0.11890472525278638,0.016739951982474927
best,129,12,91,sqrt,28,gini,0.3651986721832688,0.41245037943199386,0.14071336175621527,0.0042448614834673815
best,193,42,41,sqrt,16,gini,0.3874370443986272,0.4269199179306847,0.15631387447049502,0.018690979517505892
best,129,22,21,sqrt,14,gini,0.3862473464260748,0.4260752614939766,0.1581262609475856,0.024549830611871493
random,65,32,61,sqrt,24,entropy,0.3842718080502363,0.4260301947378144,0.15595260294729107,0.012787051843946441
best,1,22,21,sqrt,28,entropy,0.39362809490932876,0.4346986366169781,0.16864978454786642,0.02614597016745403
best,1,32,61,sqrt,26,gini,0.38758237593348827,0.427434040698568,0.1567071843838718,0.009692016629074466
best,1,62,31,sqrt,30,gini,0.3904735421026533,0.4306295094747517,0.16086310054716368,0.013804823385962334
best,129,22,31,log2,26,gini,0.35504173643371556,0.40764070010478504,0.1377836803907649,0.0038650111370246306
best,193,12,61,log2,,entropy,0.33321501796617153,0.39644993698998504,0.13607669681282408,0.009006617167911565
best,1,42,91,log2,22,gini,0.35339652306024255,0.40887135324354856,0.1425801258579172,0.01142351433279759
random,129,12,71,log2,18,gini,0.3311283024497668,0.39538506822416997,0.1360945838722053,0.004047217537942664
random,129,72,81,log2,28,gini,0.34342856477319056,0.40229761628524835,0.13677808722602244,0.006102861542262403
best,1,32,41,log2,,gini,0.3591530542780572,0.41027861488484224,0.14150606255529927,0.0020484807101399795
random,65,62,91,sqrt,20,gini,0.37723332948359606,0.42113831477591807,0.15192694575757673,0.012776214600031194
best,129,92,21,log2,22,gini,0.34750652703432827,0.40509028126832236,0.140269693770342,0.012543341139064905
random,1,2,51,sqrt,30,entropy,0.37957776624822376,0.4234023614236761,0.15289941703710672,0.004044489383215368
random,1,22,91,log2,,entropy,0.3298931841422135,0.3958041465021232,0.1339334729707626,0.0
best,1,22,51,log2,12,entropy,0.2907117584136392,0.36814005179570497,0.12066430926689752,0.009415999649008683
random,129,92,21,log2,,gini,0.3565047408361424,0.4134724861266584,0.1524658909591179,0.023469876270479764
random,65,82,31,log2,18,gini,0.3008103592413163,0.3843074380232716,0.13262477670955963,0.010813096739470224
random,1,42,1,sqrt,10,gini,0.3156743436140344,0.38471468640473544,0.1323064607224814,0.009856090767977109
best,129,82,21,sqrt,26,entropy,0.3911615759921903,0.4344323124778253,0.17041124982886624,0.025812426308409898
random,65,62,91,log2,6,entropy,0.11002737838977748,0.2395878977094489,0.02952191523819048,0.0
random,129,52,31,sqrt,10,entropy,0.3126291649925255,0.3821281239220659,0.12244917424723778,0.005403579871664978
random,1,2,1,log2,20,gini,0.3403277143290766,0.41346882138249413,0.17385476740150327,0.062034932809920285
random,193,92,51,log2,20,gini,0.343521012258359,0.3988860920137789,0.12961338730008568,0.001815911928271479
random,193,42,61,log2,18,gini,0.3356497251875717,0.39072279537608673,0.12289430246939921,0.0
best,193,2,71,log2,28,entropy,0.32217595989189646,0.3850321401843296,0.11873010516562865,0.0
best,65,62,51,log2,8,entropy,0.24529549142168028,0.3275790903508613,0.05803559781109244,0.0
best,129,92,1,sqrt,10,entropy,0.31747897471563835,0.3902228803573213,0.13790987727584417,0.015379822333625929
random,65,72,71,log2,,entropy,0.3466367419428185,0.4032939983780957,0.137479479856255,0.014301974671343073
random,65,2,21,sqrt,30,entropy,0.39001854833906363,0.43425031975999445,0.17094945799909186,0.02583323583930723
best,129,2,81,sqrt,24,entropy,0.3722105255897687,0.4180022882912908,0.14792636605485038,0.008289057598609742
best,1,12,31,log2,30,gini,0.3555034488356214,0.4115197096441441,0.14864614770062742,0.00947527722431443
best,129,42,81,sqrt,,entropy,0.36920795987741234,0.41558601831940795,0.1447362821120695,0.005131637661758143
random,193,72,91,log2,12,entropy,0.3152119215005124,0.37399263119934445,0.11290882634399356,0.007400681106141084
random,65,52,11,log2,14,gini,0.31696186932217424,0.3839378336489208,0.12720317587681543,0.006321963745360887
random,193,92,1,log2,6,entropy,0.28361407690036355,0.3528736053586157,0.11419049986385775,0.0
best,1,2,71,log2,22,entropy,0.32666679596149834,0.39423150657905115,0.13445668867576324,0.008534396809571286
random,129,82,61,log2,4,entropy,0.14136253517509192,0.2125360445567153,0.035610074005161224,0.0
random,1,92,1,log2,12,entropy,0.27461247512785825,0.3699393747375795,0.12375806897193198,0.007819557649192484
random,1,82,91,sqrt,16,entropy,0.3510187395216142,0.4058970423028098,0.1396427888158048,0.005155794664873347
best,129,22,71,log2,22,entropy,0.32353986560231035,0.38715944754297427,0.11892862087616218,0.0
best,1,42,51,sqrt,16,gini,0.3862238734435403,0.42225230858019164,0.1472451036811306,0.002480829950383401
random,65,32,61,sqrt,8,entropy,0.3231732049146415,0.37393497359083167,0.11861696239122481,0.005830250028030048
best,65,32,41,log2,20,gini,0.3414402378226007,0.39863346631379065,0.13295935434694497,0.005576000892160143
random,65,2,71,log2,20,entropy,0.3296752474478303,0.3903817530224498,0.12308741132209051,0.0
random,1,42,31,sqrt,16,entropy,0.3724031760539017,0.41821428916517905,0.15380044216097163,0.017386088467833627
best,193,82,91,log2,8,entropy,0.24362588228445883,0.31764460464983785,0.08320129296347674,0.0
best,193,12,1,sqrt,26,entropy,0.3726830667227716,0.44577099838298456,0.21626573233826804,0.1102034499702725
best,65,92,71,sqrt,10,gini,0.3011048414345638,0.3742708602839964,0.12144362060640361,0.0073406740073406725
best,129,62,71,log2,30,entropy,0.3355574486853425,0.3938176720470969,0.12450951357946656,0.0
random,129,42,71,sqrt,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
best,1,62,81,sqrt,6,entropy,0.250424612282378,0.33341115844749725,0.10167060866924595,0.0
best,129,72,71,log2,4,gini,0.24149588382041998,0.2850117062502394,0.0,0.0
best,1,92,91,log2,8,gini,0.1568738698467539,0.30381706420358784,0.07362073165006856,0.009674582233948988
best,1,62,71,log2,18,gini,0.3251580149528261,0.3924248672180968,0.13034968144008593,0.0
best,193,62,81,log2,22,entropy,0.31974813029461974,0.38523247209593275,0.11883847354522757,0.0
best,65,62,91,log2,4,entropy,0.19817101201650753,0.29209554870719145,0.0314043821386267,0.0
random,193,72,81,log2,2,gini,0.17936777520704505,0.24066313391969277,0.0,0.0
best,1,82,11,log2,18,gini,0.3555005808247615,0.4138196042004345,0.15578472430310678,0.025857152871704762
best,65,52,11,sqrt,16,gini,0.39208907065902254,0.4319021891607207,0.16591231891189354,0.026733358113375516
best,1,32,31,log2,18,entropy,0.33001517604386454,0.40154379566052373,0.15128421968741834,0.019973768208775968
best,193,52,71,sqrt,4,gini,0.25406668206777167,0.296172927208698,0.00330232027095519,0.0
best,65,72,11,sqrt,2,gini,0.0668218940652364,0.2331979410020466,0.0,0.0
best,1,32,61,log2,14,entropy,0.303536502755318,0.38037163724833706,0.12678734617027065,0.0
best,1,72,1,log2,14,gini,0.3179483822297309,0.3857083279874834,0.1320532242186744,0.020514325214868425
random,129,72,21,sqrt,24,entropy,0.3872471923190546,0.4328653670070544,0.16945873068502296,0.030060548503515413
best,129,72,81,log2,14,gini,0.3189903834523533,0.37902579789226426,0.11973504431910985,0.0
best,193,82,71,sqrt,18,gini,0.3770023683530976,0.4184999851324182,0.1478584107412468,0.014303282453848687
best,65,2,31,log2,20,gini,0.340633556825217,0.39889071231317264,0.13424014751464716,0.0069479694850091344
random,193,32,41,sqrt,,entropy,0.3851285521257988,0.426303974204391,0.15602662793637725,0.013001364477093207
random,193,72,91,sqrt,10,gini,0.224332694134449,0.3287616560825546,0.0858931257238788,0.014576068299316612
random,1,52,71,sqrt,28,gini,0.3781951277115318,0.4206634252260881,0.1491491289257601,0.0
random,65,92,81,log2,24,gini,0.3404223358723002,0.39934619180067393,0.13192077520258244,0.0
best,1,52,71,log2,14,gini,0.3115209128876053,0.38298830834626946,0.12305707744917048,0.0
random,65,22,91,sqrt,22,gini,0.3790308394459338,0.41890215816513926,0.14445999651645855,0.0
random,65,32,61,sqrt,28,gini,0.380630470977652,0.4218014446402984,0.14926370994511587,0.004062288422477995
random,65,62,21,sqrt,12,gini,0.35643678410285284,0.40822938726593083,0.14772690159149018,0.019204851273530308
random,193,92,71,log2,,entropy,0.34597855594593674,0.3996044523855619,0.13029807591458445,0.00649859943977591
random,129,32,11,sqrt,28,entropy,0.3823232804914529,0.43689395026781525,0.18503606494127778,0.05322932042266424
random,65,52,21,log2,20,entropy,0.32383249072532894,0.3919054419108016,0.1340875459932472,0.0026899798251513118
best,129,92,71,sqrt,,gini,0.37750606701632056,0.4195456468671992,0.1460251164246256,0.0
best,129,52,71,sqrt,,gini,0.37750606701632056,0.4195456468671992,0.1460251164246256,0.0
random,193,62,11,log2,24,gini,0.36537415180972954,0.41911741493412863,0.15970728105957097,0.021129360668547967
best,65,2,41,log2,8,gini,0.27820982282483564,0.3329044853497069,0.05114791433130619,0.0013637913399249916
best,129,22,31,log2,6,entropy,0.23391758672661844,0.32872663216451253,0.06818826305474922,0.0006835269993164728
best,193,52,11,log2,10,gini,0.26359224467172077,0.3432489454684687,0.08835875133927702,0.0004570906182150612
best,1,42,41,sqrt,12,gini,0.353368769863495,0.4044637847554006,0.13875580586981578,0.013255785691879565
random,193,12,81,sqrt,16,gini,0.3263118147671155,0.38996417268024725,0.11991628329165627,0.0
random,65,92,91,log2,16,gini,0.3287898296745785,0.39172635313665044,0.1268458348698284,0.0
best,129,92,81,log2,30,entropy,0.30403853386884516,0.3797777916971244,0.11803884797558095,0.0
best,129,62,71,sqrt,10,gini,0.31124667297703174,0.384021663180186,0.12822920926528303,0.004973437323386458
best,129,62,11,log2,6,entropy,0.23476210077820422,0.33087222838336966,0.07195442206535906,0.0006835269993164728
best,193,12,51,sqrt,18,gini,0.391263806535391,0.4248920329597626,0.14989820354656558,0.014445109757004372
best,65,52,21,sqrt,24,entropy,0.39128445656715977,0.43541717553285725,0.1734189407648324,0.03706242891192981
random,129,2,1,log2,14,entropy,0.33236881367102983,0.4009318817840634,0.14270918986406111,0.02429218804117539
best,1,42,41,sqrt,22,gini,0.3940733967825958,0.429202163369631,0.15510875490630738,0.002952867688813174
random,1,92,21,log2,8,gini,0.2266695866493308,0.3119754106784179,0.07774189360291255,0.0
random,1,52,81,sqrt,,entropy,0.3649599683256839,0.4151540703505978,0.14773478960920552,0.00449842555105713
best,65,2,91,sqrt,24,gini,0.38194332183501206,0.4192139516029456,0.1437213284276124,0.0
random,1,52,81,log2,24,gini,0.3428448539605157,0.3985584698382372,0.13020700453423525,0.0
best,193,2,81,log2,16,gini,0.3158469348570827,0.3867117897083676,0.12494975186660055,0.009000109757436066
best,65,72,1,sqrt,10,entropy,0.34197183219532623,0.403409252363732,0.14686678607060155,0.018410751760451684
best,1,92,61,sqrt,12,entropy,0.36339607830839665,0.4078045758400101,0.14409545520195793,0.005643977875606728
random,1,92,1,sqrt,2,gini,0.057653701497125835,0.24116849237514507,0.0,0.0
best,65,82,41,sqrt,30,entropy,0.39038472157758924,0.4285533144779638,0.15750895004755264,0.016776125755796085
best,1,52,31,log2,22,entropy,0.3347089763590933,0.39959509136048327,0.14325316198978724,0.005625936427239269
random,65,82,31,sqrt,10,entropy,0.31516465292082224,0.38316726021203623,0.13022587384445344,0.007746790615316512
random,65,72,21,log2,22,entropy,0.35566073028279815,0.4104054156441599,0.1469881302177303,0.01797236339020845
random,129,72,91,sqrt,16,entropy,0.357553143522561,0.40699128878844415,0.13743489817370447,0.0
best,65,82,91,log2,,gini,0.32148898737312165,0.3860125838987238,0.12072604990552217,0.006932796600693279
random,193,12,1,log2,22,gini,0.3500133784115691,0.417159292485124,0.17332612257476657,0.051465762108042996
random,129,32,91,sqrt,16,gini,0.3553053947173936,0.40623425895158455,0.13700019236279523,0.0
random,129,82,61,log2,2,gini,0.07705697434994017,0.23765442336799728,0.0,0.0
random,129,62,31,log2,,entropy,0.34755067150048885,0.4060511923354404,0.14199789777626207,0.007805173299057761
best,1,92,51,log2,4,entropy,0.22265051864034743,0.2897973850382785,0.039311090369684824,0.0
best,65,32,11,log2,,gini,0.362677936552459,0.41820288232249814,0.15795277726411158,0.024107759016947738
best,193,42,41,log2,26,gini,0.34649541934279954,0.400779427667469,0.13213274474804343,0.0
best,193,42,31,sqrt,16,gini,0.3861532924797197,0.4251017284251495,0.15532450354176647,0.007192791401197538
best,1,52,21,log2,18,gini,0.3363600614406697,0.3966812707695004,0.13597467376825564,0.014769631239155652
best,129,52,21,sqrt,16,entropy,0.3732229760108461,0.42351642068021417,0.16220061086089618,0.0219195636969416
best,65,42,71,sqrt,8,entropy,0.3224449241175052,0.3779751987177078,0.11349073117795576,0.007146845337800112
random,193,22,51,log2,28,gini,0.34338297081470026,0.400104273194598,0.13181539952338447,0.009217564904317854
random,129,92,11,sqrt,28,entropy,0.3861648012214764,0.4333892096462156,0.1711219810034378,0.030808479816337036
best,129,62,11,log2,12,gini,0.2901173628645845,0.36937619486705,0.11539367249186687,0.007199091585063259
random,65,72,81,sqrt,28,entropy,0.3772487389244032,0.4190699511110422,0.14525786510054864,0.00605245460659045
best,193,72,61,log2,4,entropy,0.19119387037462388,0.2774106652991488,0.06254942687338491,0.0
random,129,92,41,log2,,gini,0.348547094109859,0.4054392662325952,0.13928395307443728,0.005215661995084521
best,65,72,41,log2,18,gini,0.3322343557191288,0.390301414144626,0.12080041406876318,0.00045599635202918376
random,65,62,21,sqrt,2,gini,0.16345454057174993,0.22708192151633677,0.027259001716534118,0.0
random,193,12,91,sqrt,20,gini,0.3513841296126116,0.4023840312490569,0.13031936670172004,0.004481792717086835
random,65,22,1,log2,22,entropy,0.34048181798436117,0.41513061562698894,0.17435026071867518,0.05501061933815502
random,193,42,1,log2,12,entropy,0.31166568208694906,0.37136269806592387,0.1133777133450144,0.018891464308719557
random,1,12,91,sqrt,28,entropy,0.37397262994885816,0.4213457264404783,0.1541416293441938,0.008792174964281788
random,1,42,41,sqrt,26,gini,0.3783306668802009,0.42551037303508726,0.16096087445432347,0.019403622927544068
best,1,2,21,sqrt,10,gini,0.34526460521867647,0.3998236609836984,0.1353911180331462,0.010568218872516693
best,129,52,71,log2,22,entropy,0.32353986560231035,0.38715944754297427,0.11892862087616218,0.0
best,193,22,1,sqrt,28,gini,0.3789181740855601,0.44670235920640405,0.21243630876010347,0.09500399868463316
random,193,62,81,log2,12,gini,0.3061989114787153,0.36840849945422954,0.10524307247377919,0.0
random,1,42,51,sqrt,2,entropy,0.057653701497125835,0.24116849237514507,0.0,0.0
best,65,52,61,log2,22,gini,0.33419009285059054,0.39141691089505387,0.12173225887259198,0.0
random,129,32,61,log2,26,gini,0.3486625932622644,0.4024984986948394,0.13234119025083266,0.0
random,193,92,31,log2,18,entropy,0.3402699386331692,0.3932324392476623,0.12716508429270082,0.0036172796988493214
random,129,42,91,sqrt,,gini,0.3720306025569157,0.41709691169339685,0.14557342140268878,0.0
random,193,72,21,sqrt,18,entropy,0.362925000997332,0.4187255172219308,0.15983982873805003,0.02453878503550069
best,1,92,81,log2,24,entropy,0.3069382193310811,0.38212276481164587,0.12188194132598225,0.0
random,193,32,51,log2,8,gini,0.26622194726547727,0.32150510062122367,0.06314052417397312,0.0
random,1,92,1,sqrt,8,gini,0.2954264040128492,0.3804322993393399,0.129708811374103,0.013166284414168583
random,1,72,41,log2,12,entropy,0.2529908734699376,0.35112430938111433,0.10660893749921356,0.0
best,65,22,31,log2,24,gini,0.3459509347604351,0.4011221440298735,0.13283438940892,0.0020477815699658703
best,1,32,61,log2,6,gini,0.14782619561228663,0.2460014216841754,0.025244169225301455,0.0
best,129,12,61,sqrt,12,entropy,0.36170116057642404,0.4132984726293782,0.14818493362346843,0.0
random,65,22,91,log2,26,entropy,0.3276941769349563,0.3924367593545666,0.12608716796688416,0.0
random,1,42,41,sqrt,12,entropy,0.3414833339078955,0.39876134817302833,0.13303033470953712,0.010102463107835842
best,193,42,41,sqrt,26,gini,0.3885547691400584,0.42674879083729206,0.15511926794243672,0.009746707704256763
random,129,2,31,sqrt,20,gini,0.36963119364167357,0.4191339950228321,0.15376053958660094,0.016592296403585078
best,1,62,11,log2,14,gini,0.32852002751317233,0.3921721312530441,0.1317335134336484,0.009912695582528242
best,65,52,11,log2,16,entropy,0.3392099454729931,0.39007768196522347,0.1173555607489652,0.011396691036131034
random,129,62,31,log2,14,entropy,0.2978788717550612,0.38308772020638954,0.13263028485836648,0.009618725449600572
random,65,92,1,sqrt,6,entropy,0.24389607398589166,0.34195275253472796,0.10222093585695109,0.0
best,129,2,81,sqrt,26,gini,0.38169085391665564,0.4199885252257655,0.14341989105529176,0.0
