colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,subsample,score
0.5,0,0.1,16,10,200,0.7,0.7875490749179841
0.5,0,0.1,16,10,200,1.0,0.7880018152017012
0.5,0,0.1,32,1,50,0.5,0.7827814682155322
0.5,0,0.1,32,1,50,0.7,0.7833554064401661
0.5,0,0.1,32,1,50,1.0,0.7842600765075002
0.5,0,0.1,32,1,100,0.5,0.780956538071695
0.5,0,0.1,32,1,100,0.7,0.7816831068066277
0.5,0,0.1,32,1,100,1.0,0.7827736884506096
0.5,0,0.1,32,1,200,0.5,0.7769209202779871
0.5,0,0.1,32,1,200,0.7,0.7795241542898088
0.5,0,0.1,32,1,200,1.0,0.7802823249707062
0.5,0,0.1,32,5,50,0.5,0.7853786375566697
0.5,0,0.1,32,5,50,0.7,0.7863594410842946
0.5,0,0.1,32,5,50,1.0,0.7865272021225379
0.5,0,0.1,32,5,100,0.5,0.7851440763695683
0.5,0,0.1,32,5,100,0.7,0.7845448038222914
0.5,0,0.1,32,5,100,1.0,0.7857237037052677
0.5,0,0.1,32,5,200,0.5,0.780169454043064
0.5,0,0.1,32,5,200,0.7,0.7811904025842088
0.5,0,0.1,32,5,200,1.0,0.7817402495909667
0.5,0,0.1,32,10,50,0.5,0.7869216739256991
0.5,0,0.1,32,10,50,0.7,0.7863425836872121
0.5,0,0.1,32,10,50,1.0,0.7870665650686001
0.5,0,0.1,32,10,100,0.5,0.7861506863887272
0.5,0,0.1,32,10,100,0.7,0.7870712267001
0.5,0,0.1,32,10,100,1.0,0.7869141118807382
0.5,0,0.1,32,10,200,0.5,0.7828163424656266
0.5,0,0.1,32,10,200,0.7,0.7826876888665101
0.5,0,0.1,32,10,200,1.0,0.783939701970844
0.5,0,0.1,64,1,50,0.5,0.7820158622739063
0.5,0,0.1,64,1,50,0.7,0.782784624514278
0.5,0,0.1,64,1,50,1.0,0.7831575660646942
0.5,0,0.1,64,1,100,0.5,0.7804899925366705
0.5,0,0.1,64,1,100,0.7,0.7815544038718637
0.5,0,0.1,64,1,100,1.0,0.7817769069148212
0.5,0,0.1,64,1,200,0.5,0.7762164395778403
0.5,0,0.1,64,1,200,0.7,0.779602302047004
0.5,0,0.1,64,1,200,1.0,0.7807191694321473
0.5,0,0.1,64,5,50,0.5,0.785307802274303
0.5,0,0.1,64,5,50,0.7,0.7857729116410265
0.5,0,0.1,64,5,50,1.0,0.7861002971112888
0.5,0,0.1,64,5,100,0.5,0.7833664042180984
0.5,0,0.1,64,5,100,0.7,0.7834197071765846
0.5,0,0.1,64,5,100,1.0,0.7837743947534198
0.5,0,0.1,64,5,200,0.5,0.7792434115944277
0.5,0,0.1,64,5,200,0.7,0.7789295049643225
0.5,0,0.1,64,5,200,1.0,0.7791545091857809
0.5,0,0.1,64,10,50,0.5,0.7868144006658193
0.5,0,0.1,64,10,50,0.7,0.7870360424749824
0.5,0,0.1,64,10,50,1.0,0.7869613818474793
0.5,0,0.1,64,10,100,0.5,0.7873637724744572
0.5,0,0.1,64,10,100,0.7,0.7860585548431688
0.5,0,0.1,64,10,100,1.0,0.7856259876780403
0.5,0,0.1,64,10,200,0.5,0.7827271017453743
0.5,0,0.1,64,10,200,0.7,0.7823846528952579
0.5,0,0.1,64,10,200,1.0,0.7821894439939827
0.5,0,0.2,4,1,50,0.5,0.7782883027066788
0.5,0,0.2,4,1,50,0.7,0.7784720591617661
0.5,0,0.2,4,1,50,1.0,0.777825854874869
0.5,0,0.2,4,1,100,0.5,0.7831523094824409
0.5,0,0.2,4,1,100,0.7,0.783092964779499
0.5,0,0.2,4,1,100,1.0,0.7827414498886281
0.5,0,0.2,4,1,200,0.5,0.787103521093847
0.5,0,0.2,4,1,200,0.7,0.7867678951142564
0.5,0,0.2,4,1,200,1.0,0.7866832267674743
0.5,0,0.2,4,5,50,0.5,0.7781877949855796
0.5,0,0.2,4,5,50,0.7,0.7785804147115097
