mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_weight_fraction_leaf,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_max_features,param_max_depth,param_criterion,param_class_weight,param_ccp_alpha,param_bootstrap,params,split0_test_MCC,split1_test_MCC,split2_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_test_F1,split1_test_F1,split2_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Cust_metric,split1_test_Cust_metric,split2_test_Cust_metric,mean_test_Cust_metric,std_test_Cust_metric,rank_test_Cust_metric,split0_test_F1_cl_2,split1_test_F1_cl_2,split2_test_F1_cl_2,mean_test_F1_cl_2,std_test_F1_cl_2,rank_test_F1_cl_2
45.738260984420776,1.415952870171208,6.184011300404866,0.35003849079459937,100,0.03,2,20,0.0,5,sqrt,10,entropy,balanced_subsample,0.0,True,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.29759104865129726,0.29734885714012727,0.29411726058521415,0.2963523887922129,0.0015835640726563126,477,0.37511051405693563,0.37344496113841463,0.3688560825020595,0.37247051923246993,0.0026446967425023116,441,0.2028520307228081,0.20220972409431362,0.2010296897104268,0.20203048150918282,0.0007546865219391838,303,0.1253069306930693,0.12556227702807507,0.12124038237351363,0.12403653003155268,0.0019799211654117476,466
536.6064314047495,2.3607585167308685,20.579177300135296,0.8814154632212975,2000,0.03,10,20,0.03,,sqrt,10,entropy,balanced_subsample,0.01,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.276941168658228,0.2795760282765645,0.27815105571215143,0.2782227508823147,0.0010768709146267846,708,0.35486334129614333,0.3591914725181138,0.35423057016509885,0.3560951279931186,0.0022046332860850616,772,0.1968000219617832,0.2050748839556174,0.20577060822893936,0.20254850471544664,0.004074702323932958,258,0.11516938898971567,0.11303774390007369,0.10867859384808536,0.11229524224595823,0.0027013684090877663,902
103.63048632939656,2.3163027795864592,7.632579882939656,0.2987680819231433,300,0.0,5,20,0.0,,log2,5,entropy,balanced_subsample,0.01,True,"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 5, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.3109977097131738,0.31083858535127185,0.31043024240705036,0.31075551249049865,0.0002389987601467563,213,0.37786889800006795,0.37762684691144227,0.3768045752818901,0.3774334400644668,0.00045552194857483935,271,0.2012251632728062,0.20201919707960894,0.2009092930305803,0.20138455112766515,0.00046692263150686453,367,0.1303254382343005,0.13269016697588126,0.1260661379619931,0.12969391439072495,0.0027408705269143245,236
34.371524731318154,1.1334907184290306,5.3749659061431885,0.14438899284630582,100,0.03,5,1,0.03,10,log2,5,gini,balanced_subsample,0.0,True,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 10, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.06805549175432954,0.012629578438147894,0.14900645771379512,0.07656384263542419,0.05599974598917381,1175,0.10888878680692726,0.030310988251554944,0.0,0.046399925019494075,0.045886326124552415,947,0.0,0.050518313752591575,0.0,0.016839437917530526,0.023814561485711417,947
483.3011778990428,0.6325154784625382,22.066323439280193,0.3368472000547027,2000,0.03,5,4,0.03,10,log2,3,gini,balanced_subsample,0.0,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 10, 'max_features': 'log2', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.14900864133782094,0.14900645771379512,0.14900645771379512,0.1490071855884704,1.029370237479438e-06,947,0.0,0.0,0.0,0.0,0.0,1023,0.0,0.0,0.0,0.0,0.0,1023
31.446128368377686,0.8642106929301616,5.197424332300822,0.467272595897999,100,0.0,5,1,0.03,,sqrt,20,gini,balanced_subsample,0.01,True,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.06805549175432954,0.012629578438147894,0.14900645771379512,0.07656384263542419,0.05599974598917381,1175,0.10888878680692726,0.030310988251554944,0.0,0.046399925019494075,0.045886326124552415,947,0.0,0.050518313752591575,0.0,0.016839437917530526,0.023814561485711417,947
257.92868820826214,0.5305765419732447,12.032591104507446,0.5042478950406576,1000,0.0,2,1,0.03,5,sqrt,10,gini,balanced_subsample,0.01,True,"{'n_estimators': 1000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.03, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,947,0.14900864133782094,0.14900645771379512,0.14900645771379512,0.1490071855884704,1.029370237479438e-06,947,0.0,0.0,0.0,0.0,0.0,1023,0.0,0.0,0.0,0.0,0.0,1023
35.56630063056946,1.2726254215685908,4.615860780080159,0.3464378748468935,100,0.0,10,1,0.0,,log2,3,entropy,balanced_subsample,0.0,True,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 3, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.30183106224444867,0.3029451716881043,0.29963180949891777,0.30146934781049023,0.001376643320540498,422,0.3774124254167709,0.37851663359050247,0.3757915866436734,0.37724021521698226,0.0011191402891770803,276,0.19184876535519801,0.19337060892038543,0.1915182545568787,0.19224587627748738,0.0008066709306161704,821,0.12804171494785632,0.13054249093454925,0.1255940504262652,0.12805941876955693,0.0020202311641631075,290
608.6121359666189,2.2655519400204347,24.375000953674316,0.6930842302090157,2000,0.03,10,4,0.0,,sqrt,3,gini,balanced_subsample,0.0,True,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'gini', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.3100361471552756,0.30671202292431765,0.3074924093815367,0.30808019315371,0.0014192880369709188,272,0.3789770562104094,0.37641283592900504,0.37667543610342286,0.3773551094142791,0.0011518892510448688,273,0.19708512818174911,0.196269935833034,0.19467939765108805,0.19601148722195708,0.0009989933633294391,657,0.12941353609877285,0.13011658269280277,0.12504671500112116,0.12819227793089893,0.0022426908298200355,285
94.556938012441,1.2997364590294342,8.048220793406168,0.8078433143506925,300,0.03,10,1,0.0,5,log2,5,entropy,balanced_subsample,0.01,True,"{'n_estimators': 300, 'min_weight_fraction_leaf': 0.03, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 5, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.2977394754129399,0.29842118603027856,0.29566185060754596,0.29727417068358813,0.0011735599294893438,472,0.37287487168190964,0.3720508613428174,0.37198192061139757,0.37230255121204153,0.00040566919715839963,447,0.19589392749954562,0.195713316741395,0.19813314580931668,0.19658013001675245,0.001100620612943867,629,0.1259628787323014,0.1272107623318386,0.12528145878705105,0.12615169995039702,0.0007988713418670865,389
